X1,X2,X3,y,ignore
1.00E+00,4.00E+00,1.60E+01,2.01E+03,3.64E+04
9.00E-01,1.02E+03,4.10E+03,1.68E+03,3.64E+04
6.00E-01,1.02E+03,4.10E+03,1.33E+03,2.42E+04
6.00E-01,1.60E+01,4.00E+00,2.86E+03,1.89E+04
7.00E-01,1.00E+00,4.10E+03,1.31E+03,1.12E+04
5.00E-01,6.40E+01,1.64E+04,1.27E+03,1.82E+04
6.00E-01,6.40E+01,4.00E+00,2.63E+03,1.90E+04
1.00E+00,1.00E+00,1.00E+00,2.55E+03,3.63E+04
1.00E+00,1.60E+01,6.40E+01,1.56E+03,3.00E+04
5.00E-01,2.56E+02,1.64E+04,1.28E+03,2.08E+04
8.00E-01,2.56E+02,4.10E+03,1.36E+03,3.08E+04
6.00E-01,2.56E+02,1.60E+01,1.80E+03,1.08E+04
5.00E-01,4.00E+00,6.40E+01,2.08E+03,1.49E+04
8.00E-01,6.40E+01,2.56E+02,1.35E+03,1.73E+04
1.00E+00,1.60E+01,4.00E+00,2.08E+03,3.63E+04
5.00E-01,1.00E+00,4.00E+00,3.62E+03,1.26E+04
9.00E-01,1.60E+01,1.60E+01,1.75E+03,2.78E+04
8.00E-01,1.00E+00,4.10E+03,1.31E+03,1.54E+04
1.00E+00,6.40E+01,1.02E+03,1.34E+03,1.97E+04
7.00E-01,1.00E+00,6.40E+01,1.98E+03,1.08E+04
5.00E-01,4.00E+00,1.60E+01,2.80E+03,1.27E+04
7.00E-01,2.56E+02,6.40E+01,1.43E+03,1.09E+04
9.00E-01,1.60E+01,1.02E+03,1.32E+03,1.53E+04
5.00E-01,2.56E+02,1.00E+00,5.00E+03,1.26E+04
1.00E+00,1.02E+03,4.00E+00,1.64E+03,3.62E+04
8.00E-01,1.02E+03,4.10E+03,1.54E+03,3.64E+04
9.00E-01,1.60E+01,4.00E+00,2.04E+03,3.63E+04
5.00E-01,6.40E+01,1.00E+00,5.02E+03,1.47E+04
1.00E+00,4.00E+00,2.56E+02,1.47E+03,2.59E+04
1.00E+00,6.40E+01,1.60E+01,1.57E+03,3.63E+04
8.00E-01,1.02E+03,4.00E+00,1.53E+03,1.92E+04
8.00E-01,6.40E+01,1.60E+01,1.63E+03,1.51E+04
9.00E-01,6.40E+01,1.60E+01,1.54E+03,2.58E+04
9.00E-01,1.02E+03,2.56E+02,1.47E+03,2.60E+04
7.00E-01,4.00E+00,1.00E+00,2.97E+03,2.71E+04
9.00E-01,1.00E+00,6.40E+01,1.89E+03,2.35E+04
8.00E-01,4.00E+00,1.60E+01,2.10E+03,1.50E+04
6.00E-01,1.00E+00,1.60E+01,2.60E+03,1.07E+04
9.00E-01,1.02E+03,6.40E+01,1.51E+03,2.15E+04
7.00E-01,1.60E+01,1.64E+04,1.27E+03,2.49E+04
1.00E+00,1.00E+00,4.00E+00,2.52E+03,3.63E+04
1.00E+00,1.02E+03,1.64E+04,2.25E+03,3.64E+04
8.00E-01,4.00E+00,1.00E+00,2.57E+03,2.94E+04
6.00E-01,6.40E+01,6.40E+01,1.63E+03,8.73E+03
8.00E-01,1.60E+01,1.60E+01,1.84E+03,1.71E+04
5.00E-01,1.60E+01,1.64E+04,1.27E+03,1.61E+04
5.00E-01,1.02E+03,2.56E+02,1.36E+03,1.10E+04
6.00E-01,1.00E+00,1.02E+03,1.44E+03,8.88E+03
6.00E-01,4.00E+00,4.00E+00,3.05E+03,1.88E+04
6.00E-01,6.40E+01,1.64E+04,1.27E+03,2.28E+04
1.00E+00,4.00E+00,1.64E+04,1.29E+03,2.73E+04
1.00E+00,4.00E+00,6.40E+01,1.72E+03,3.01E+04
6.00E-01,1.02E+03,4.00E+00,2.05E+03,1.48E+04
5.00E-01,1.00E+00,2.56E+02,1.73E+03,8.71E+03
7.00E-01,1.02E+03,1.02E+03,1.37E+03,1.96E+04
9.00E-01,6.40E+01,6.40E+01,1.45E+03,2.37E+04
6.00E-01,2.56E+02,2.56E+02,1.35E+03,1.09E+04
9.00E-01,4.00E+00,4.00E+00,2.24E+03,3.58E+04
9.00E-01,1.02E+03,1.02E+03,1.52E+03,3.64E+04
9.00E-01,1.60E+01,6.40E+01,1.54E+03,2.57E+04
1.00E+00,1.02E+03,2.56E+02,1.61E+03,3.44E+04
6.00E-01,1.02E+03,1.00E+00,2.92E+03,1.27E+04
8.00E-01,1.02E+03,6.40E+01,1.45E+03,1.94E+04
1.00E+00,1.60E+01,4.10E+03,1.30E+03,1.98E+04
9.00E-01,1.60E+01,4.10E+03,1.28E+03,1.77E+04
5.00E-01,6.40E+01,6.40E+01,1.79E+03,1.71E+04
8.00E-01,1.00E+00,2.56E+02,1.59E+03,1.30E+04
6.00E-01,1.00E+00,1.00E+00,3.72E+03,1.26E+04
5.00E-01,6.40E+01,1.60E+01,2.35E+03,1.06E+04
7.00E-01,1.60E+01,2.56E+02,1.42E+03,1.09E+04
1.00E+00,6.40E+01,6.40E+01,1.50E+03,2.80E+04
9.00E-01,2.56E+02,1.64E+04,1.57E+03,3.65E+04
7.00E-01,2.56E+02,1.02E+03,1.31E+03,1.32E+04
1.00E+00,2.56E+02,1.60E+01,1.59E+03,3.00E+04
6.00E-01,1.60E+01,1.64E+04,1.27E+03,1.82E+04
7.00E-01,1.02E+03,4.00E+00,1.71E+03,1.29E+04
1.00E+00,6.40E+01,4.10E+03,1.36E+03,2.84E+04
8.00E-01,1.60E+01,4.00E+00,2.18E+03,2.11E+04
9.00E-01,4.00E+00,6.40E+01,1.71E+03,2.36E+04
1.00E+00,2.56E+02,1.02E+03,1.45E+03,3.26E+04
1.00E+00,1.02E+03,1.60E+01,1.70E+03,2.57E+04
7.00E-01,1.02E+03,6.40E+01,1.41E+03,1.09E+04
7.00E-01,4.00E+00,1.64E+04,1.27E+03,1.81E+04
6.00E-01,4.00E+00,4.10E+03,1.30E+03,1.12E+04
6.00E-01,4.00E+00,1.02E+03,1.38E+03,8.90E+03
9.00E-01,1.00E+00,1.00E+00,2.36E+03,3.63E+04
9.00E-01,6.40E+01,1.64E+04,1.38E+03,3.66E+04
8.00E-01,1.00E+00,1.60E+01,2.27E+03,1.70E+04
7.00E-01,2.56E+02,1.00E+00,2.57E+03,1.70E+04
9.00E-01,2.56E+02,1.00E+00,1.87E+03,3.63E+04
8.00E-01,6.40E+01,4.10E+03,1.30E+03,1.99E+04
9.00E-01,2.56E+02,1.02E+03,1.39E+03,2.60E+04
7.00E-01,6.40E+01,6.40E+01,1.51E+03,1.09E+04
9.00E-01,1.00E+00,1.64E+04,1.29E+03,2.32E+04
6.00E-01,1.60E+01,4.10E+03,1.29E+03,1.11E+04
5.00E-01,1.00E+00,4.10E+03,1.33E+03,8.95E+03
1.00E+00,1.60E+01,1.00E+00,2.37E+03,3.63E+04
9.00E-01,2.56E+02,2.56E+02,1.39E+03,1.74E+04
8.00E-01,1.02E+03,1.00E+00,1.79E+03,2.96E+04
9.00E-01,6.40E+01,2.56E+02,1.36E+03,1.73E+04
8.00E-01,4.00E+00,1.64E+04,1.27E+03,2.29E+04
8.00E-01,1.60E+01,1.64E+04,1.28E+03,2.50E+04
6.00E-01,1.00E+00,4.10E+03,1.32E+03,1.11E+04
8.00E-01,4.00E+00,1.02E+03,1.34E+03,1.54E+04
5.00E-01,2.56E+02,4.10E+03,1.27E+03,1.12E+04
8.00E-01,1.02E+03,1.02E+03,1.42E+03,3.03E+04
5.00E-01,1.02E+03,1.64E+04,1.32E+03,3.39E+04
7.00E-01,1.02E+03,1.00E+00,2.20E+03,2.95E+04
7.00E-01,1.02E+03,1.64E+04,1.52E+03,3.64E+04
6.00E-01,1.02E+03,1.02E+03,1.32E+03,1.32E+04
7.00E-01,6.40E+01,2.56E+02,1.36E+03,1.31E+04
9.00E-01,4.00E+00,1.60E+01,2.01E+03,2.98E+04
8.00E-01,1.00E+00,4.00E+00,2.48E+03,2.33E+04
5.00E-01,1.02E+03,6.40E+01,1.52E+03,8.76E+03
8.00E-01,2.56E+02,1.00E+00,2.08E+03,2.96E+04
6.00E-01,1.60E+01,1.02E+03,1.33E+03,1.10E+04
1.00E+00,2.56E+02,1.64E+04,1.70E+03,3.65E+04
8.00E-01,2.56E+02,1.60E+01,1.50E+03,1.51E+04
5.00E-01,4.00E+00,1.02E+03,1.41E+03,1.10E+04
5.00E-01,6.40E+01,4.10E+03,1.28E+03,1.11E+04
5.00E-01,1.00E+00,6.40E+01,2.23E+03,1.07E+04
1.00E+00,1.00E+00,1.64E+04,1.30E+03,2.51E+04
5.00E-01,4.00E+00,2.56E+02,1.64E+03,1.09E+04
8.00E-01,1.60E+01,1.00E+00,2.56E+03,2.94E+04
5.00E-01,1.60E+01,1.02E+03,1.36E+03,8.88E+03
8.00E-01,1.60E+01,6.40E+01,1.57E+03,1.50E+04
1.00E+00,1.02E+03,1.02E+03,1.74E+03,3.64E+04
8.00E-01,1.02E+03,1.60E+01,1.51E+03,1.72E+04
9.00E-01,1.02E+03,1.00E+00,1.65E+03,3.63E+04
1.00E+00,1.60E+01,1.02E+03,1.34E+03,1.54E+04
9.00E-01,2.56E+02,6.40E+01,1.45E+03,2.15E+04
7.00E-01,1.60E+01,6.40E+01,1.67E+03,1.09E+04
8.00E-01,1.60E+01,1.02E+03,1.31E+03,1.54E+04
6.00E-01,2.56E+02,1.00E+00,3.29E+03,1.27E+04
1.00E+00,1.02E+03,4.10E+03,1.85E+03,3.64E+04
7.00E-01,6.40E+01,1.60E+01,1.78E+03,1.08E+04
9.00E-01,1.00E+00,2.56E+02,1.58E+03,1.73E+04
7.00E-01,2.56E+02,2.56E+02,1.34E+03,1.31E+04
5.00E-01,6.40E+01,2.56E+02,1.46E+03,1.09E+04
6.00E-01,1.02E+03,6.40E+01,1.44E+03,8.78E+03
6.00E-01,2.56E+02,4.00E+00,2.36E+03,1.89E+04
6.00E-01,4.00E+00,6.40E+01,1.94E+03,1.08E+04
9.00E-01,1.60E+01,1.64E+04,1.28E+03,2.78E+04
1.00E+00,4.00E+00,4.00E+00,2.31E+03,3.63E+04
5.00E-01,2.56E+02,1.60E+01,2.09E+03,1.07E+04
6.00E-01,4.00E+00,1.60E+01,2.48E+03,1.07E+04
7.00E-01,6.40E+01,1.00E+00,2.81E+03,2.71E+04
7.00E-01,4.00E+00,1.60E+01,2.26E+03,1.28E+04
9.00E-01,2.56E+02,4.00E+00,1.60E+03,3.62E+04
5.00E-01,6.40E+01,4.00E+00,3.20E+03,1.26E+04
8.00E-01,1.00E+00,6.40E+01,1.92E+03,1.50E+04
6.00E-01,1.00E+00,1.64E+04,1.27E+03,1.61E+04
5.00E-01,1.60E+01,4.00E+00,3.35E+03,2.29E+04
9.00E-01,1.02E+03,4.00E+00,1.51E+03,3.20E+04
1.00E+00,4.00E+00,1.02E+03,1.36E+03,1.96E+04
1.00E+00,1.00E+00,1.60E+01,2.24E+03,3.63E+04
1.00E+00,2.56E+02,1.00E+00,1.86E+03,3.63E+04
9.00E-01,2.56E+02,1.60E+01,1.51E+03,2.79E+04
1.00E+00,1.60E+01,1.64E+04,1.30E+03,2.76E+04
5.00E-01,4.00E+00,1.00E+00,5.15E+03,1.26E+04
1.00E+00,6.40E+01,1.00E+00,2.11E+03,3.63E+04
6.00E-01,6.40E+01,1.00E+00,3.62E+03,1.26E+04
8.00E-01,2.56E+02,4.00E+00,1.71E+03,2.34E+04
9.00E-01,6.40E+01,1.02E+03,1.32E+03,1.75E+04
7.00E-01,2.56E+02,1.60E+01,1.59E+03,1.09E+04
6.00E-01,1.00E+00,4.00E+00,3.13E+03,1.88E+04
6.00E-01,4.00E+00,1.64E+04,1.27E+03,1.62E+04
8.00E-01,1.60E+01,2.56E+02,1.39E+03,1.73E+04
1.00E+00,6.40E+01,2.56E+02,1.39E+03,1.96E+04
8.00E-01,2.56E+02,2.56E+02,1.35E+03,1.73E+04
6.00E-01,1.60E+01,6.40E+01,1.79E+03,1.08E+04
9.00E-01,6.40E+01,4.10E+03,1.32E+03,2.19E+04
5.00E-01,1.00E+00,1.00E+00,5.26E+03,1.25E+04
6.00E-01,1.00E+00,2.56E+02,1.66E+03,8.73E+03
7.00E-01,6.40E+01,1.02E+03,1.30E+03,1.32E+04
9.00E-01,1.00E+00,1.60E+01,2.21E+03,2.96E+04
5.00E-01,1.02E+03,4.10E+03,1.30E+03,1.56E+04
6.00E-01,4.00E+00,1.00E+00,3.75E+03,1.26E+04
5.00E-01,1.60E+01,1.00E+00,5.23E+03,1.25E+04
5.00E-01,1.02E+03,1.60E+01,1.88E+03,1.07E+04
7.00E-01,2.56E+02,4.10E+03,1.31E+03,1.99E+04
9.00E-01,1.02E+03,1.60E+01,1.59E+03,2.15E+04
1.00E+00,1.60E+01,2.56E+02,1.40E+03,2.18E+04
7.00E-01,1.00E+00,2.56E+02,1.62E+03,1.09E+04
8.00E-01,2.56E+02,6.40E+01,1.41E+03,1.94E+04
9.00E-01,4.00E+00,1.64E+04,1.28E+03,2.51E+04
8.00E-01,2.56E+02,1.02E+03,1.33E+03,1.97E+04
5.00E-01,4.00E+00,1.64E+04,1.27E+03,1.39E+04
7.00E-01,1.60E+01,4.10E+03,1.28E+03,1.34E+04
8.00E-01,6.40E+01,1.64E+04,1.32E+03,3.42E+04
9.00E-01,1.00E+00,1.02E+03,1.41E+03,1.74E+04
9.00E-01,1.60E+01,1.00E+00,2.34E+03,3.63E+04
7.00E-01,6.40E+01,1.64E+04,1.28E+03,2.71E+04
7.00E-01,2.56E+02,4.00E+00,1.95E+03,1.29E+04
1.00E+00,1.00E+00,2.56E+02,1.59E+03,2.16E+04
1.00E+00,2.56E+02,4.10E+03,1.59E+03,3.64E+04
9.00E-01,1.00E+00,4.00E+00,2.43E+03,3.37E+04
5.00E-01,1.00E+00,1.64E+04,1.27E+03,1.38E+04
1.00E+00,1.02E+03,6.40E+01,1.58E+03,2.58E+04
7.00E-01,1.60E+01,4.00E+00,2.49E+03,1.89E+04
5.00E-01,4.00E+00,4.10E+03,1.31E+03,8.97E+03
8.00E-01,4.00E+00,4.10E+03,1.29E+03,1.54E+04
9.00E-01,4.00E+00,4.10E+03,1.29E+03,1.77E+04
5.00E-01,1.02E+03,1.02E+03,1.30E+03,1.10E+04
6.00E-01,1.02E+03,2.56E+02,1.35E+03,1.09E+04
5.00E-01,1.02E+03,4.00E+00,2.54E+03,2.92E+04
8.00E-01,4.00E+00,2.56E+02,1.48E+03,1.52E+04
1.00E+00,4.00E+00,4.10E+03,1.30E+03,1.98E+04
9.00E-01,6.40E+01,1.00E+00,2.12E+03,3.63E+04
6.00E-01,6.40E+01,1.60E+01,2.03E+03,1.07E+04
1.00E+00,1.00E+00,6.40E+01,1.91E+03,2.78E+04
5.00E-01,2.56E+02,1.02E+03,1.31E+03,1.10E+04
6.00E-01,1.02E+03,1.64E+04,1.39E+03,3.68E+04
1.00E+00,1.60E+01,1.60E+01,1.75E+03,3.63E+04
5.00E-01,2.56E+02,6.40E+01,1.63E+03,1.50E+04
9.00E-01,2.56E+02,4.10E+03,1.44E+03,3.64E+04
8.00E-01,1.00E+00,1.00E+00,2.55E+03,2.93E+04
7.00E-01,1.02E+03,2.56E+02,1.36E+03,1.52E+04
9.00E-01,4.00E+00,2.56E+02,1.46E+03,1.95E+04
8.00E-01,1.00E+00,1.64E+04,1.28E+03,2.06E+04
6.00E-01,1.00E+00,6.40E+01,2.09E+03,1.08E+04
1.00E+00,1.00E+00,4.10E+03,1.32E+03,2.20E+04
7.00E-01,4.00E+00,4.00E+00,2.71E+03,1.27E+04
6.00E-01,2.56E+02,1.02E+03,1.30E+03,1.11E+04
7.00E-01,1.00E+00,1.64E+04,1.28E+03,1.84E+04
6.00E-01,2.56E+02,6.40E+01,1.50E+03,8.77E+03
7.00E-01,4.00E+00,6.40E+01,1.84E+03,1.08E+04
5.00E-01,2.56E+02,2.56E+02,1.40E+03,6.74E+03
7.00E-01,1.00E+00,4.00E+00,2.73E+03,2.32E+04
8.00E-01,4.00E+00,4.00E+00,2.38E+03,2.33E+04
6.00E-01,2.56E+02,1.64E+04,1.31E+03,3.21E+04
6.00E-01,6.40E+01,1.02E+03,1.31E+03,1.10E+04
6.00E-01,4.00E+00,2.56E+02,1.57E+03,1.09E+04
7.00E-01,6.40E+01,4.10E+03,1.28E+03,1.55E+04
7.00E-01,1.02E+03,4.10E+03,1.40E+03,3.64E+04
8.00E-01,1.60E+01,4.10E+03,1.28E+03,1.56E+04
8.00E-01,1.00E+00,1.02E+03,1.41E+03,1.32E+04
6.00E-01,1.60E+01,2.56E+02,1.47E+03,1.09E+04
8.00E-01,6.40E+01,1.02E+03,1.30E+03,1.53E+04
7.00E-01,4.00E+00,4.10E+03,1.29E+03,1.33E+04
7.00E-01,1.00E+00,1.60E+01,2.42E+03,1.48E+04
8.00E-01,6.40E+01,1.00E+00,2.35E+03,2.95E+04
9.00E-01,4.00E+00,1.00E+00,2.45E+03,3.63E+04
8.00E-01,1.02E+03,2.56E+02,1.39E+03,1.74E+04
7.00E-01,2.56E+02,1.64E+04,1.38E+03,3.66E+04
5.00E-01,1.02E+03,1.00E+00,4.43E+03,1.26E+04
9.00E-01,1.60E+01,2.56E+02,1.38E+03,2.18E+04
9.00E-01,4.00E+00,1.02E+03,1.35E+03,1.74E+04
6.00E-01,1.02E+03,1.60E+01,1.63E+03,1.29E+04
9.00E-01,6.40E+01,4.00E+00,1.79E+03,3.20E+04
6.00E-01,2.56E+02,4.10E+03,1.29E+03,1.77E+04
1.00E+00,2.56E+02,6.40E+01,1.50E+03,2.16E+04
1.00E+00,4.00E+00,1.00E+00,2.56E+03,3.63E+04
1.00E+00,1.00E+00,1.02E+03,1.42E+03,1.96E+04
7.00E-01,1.00E+00,1.00E+00,2.98E+03,1.68E+04
5.00E-01,1.60E+01,2.56E+02,1.55E+03,1.09E+04
7.00E-01,1.60E+01,1.00E+00,2.96E+03,2.71E+04
9.00E-01,1.02E+03,1.64E+04,1.93E+03,3.64E+04
1.00E+00,1.02E+03,1.00E+00,1.69E+03,3.63E+04
9.00E-01,1.00E+00,4.10E+03,1.31E+03,1.76E+04
5.00E-01,1.60E+01,1.60E+01,2.61E+03,1.07E+04
5.00E-01,4.00E+00,4.00E+00,3.48E+03,2.91E+04
5.00E-01,2.56E+02,4.00E+00,2.94E+03,1.26E+04
7.00E-01,4.00E+00,1.02E+03,1.36E+03,1.10E+04
5.00E-01,1.00E+00,1.02E+03,1.46E+03,8.81E+03
8.00E-01,1.02E+03,1.64E+04,1.67E+03,3.68E+04
5.00E-01,1.60E+01,6.40E+01,1.97E+03,6.56E+03
7.00E-01,1.02E+03,1.60E+01,1.51E+03,1.08E+04
5.00E-01,6.40E+01,1.02E+03,1.33E+03,8.89E+03
8.00E-01,2.56E+02,1.64E+04,1.44E+03,3.64E+04
7.00E-01,1.60E+01,1.60E+01,2.04E+03,1.29E+04
7.00E-01,1.60E+01,1.02E+03,1.32E+03,1.10E+04
8.00E-01,6.40E+01,4.00E+00,1.94E+03,2.76E+04
7.00E-01,6.40E+01,4.00E+00,2.25E+03,1.28E+04
6.00E-01,6.40E+01,4.10E+03,1.27E+03,1.33E+04
6.00E-01,1.60E+01,1.00E+00,3.77E+03,1.26E+04
1.00E+00,2.56E+02,2.56E+02,1.42E+03,2.19E+04
1.00E+00,2.56E+02,4.00E+00,1.62E+03,3.63E+04
6.00E-01,6.40E+01,2.56E+02,1.40E+03,1.09E+04
7.00E-01,1.00E+00,1.02E+03,1.41E+03,1.10E+04
1.00E+00,6.40E+01,4.00E+00,1.81E+03,3.63E+04
7.00E-01,4.00E+00,2.56E+02,1.52E+03,1.09E+04
5.00E-01,1.60E+01,4.10E+03,1.29E+03,9.02E+03
5.00E-01,1.00E+00,1.60E+01,2.84E+03,1.68E+04
1.00E+00,6.40E+01,1.64E+04,1.43E+03,3.65E+04
8.00E-01,6.40E+01,6.40E+01,1.45E+03,1.72E+04
8.00E-01,4.00E+00,6.40E+01,1.75E+03,1.51E+04
6.00E-01,1.60E+01,1.60E+01,2.28E+03,1.07E+04